pref_lookingfor,count
|56|58|67|69|74|77|50|,1
|7|20|21|27|28|29|30|33|34|35|36|38|41|42|43|44|,1
|48|47|56|60|81|71|77|80|67|66|69|,1
|53|56|60|63|64|67|75|77|80|,1
|70|50|53|47|56|,1
|7|10|,1
|48|47|56|57|61|63|64|67|71|74|75|50|,1
|56|57|70|74|,1
|56|63|76|80|,1
|49|47|55|56|61|63|67|74|75|76|77|50|78|80|,1
|53|63|67|75|76|50|80|,1
|48|55|56|57|65|74|80|,1
|48|47|58|69|72|50|78|,1
|12|14|15|18|19|20|21|27|28|29|30|33|38|42|44|47|50|,1
|56|58|73|80|77|57|59|67|68|70|74|76|78|48|,1
|48|55|67|70|72|74|77|80|,1
|48|54|47|56|69|77|78|80|74|67|63|57|55|49|53|,1
|74|76|72|67|,1
|48|56|57|63|81|68|70|74|80|,1
|55|56|57|63|67|74|76|80|,1
|49|63|65|66|67|74|76|77|50|79|,1
|58|66|69|73|75|77|80|76|50|70|67|65|63|55|53|49|,1
|48|49|55|57|59|56|47|53|58|62|64|75|77|78|80|73|71|72|74|76|50|,1
|48|47|55|56|67|69|74|77|78|80|,1
|48|56|72|77|50|80|,1
|61|70|,1
|48|56|67|70|76|80|,1
|48|49|55|62|64|65|68|70|73|74|75|77|80|,1
|48|54|60|81|69|71|57|63|67|70|72|74|50|80|78|,1
|54|47|56|58|55|80|62|,1
|48|47|56|60|75|77|78|80|57|49|,1
|48|64|65|66|67|81|69|71|73|50|78|,1
|80|56|59|57|67|,1
|56|64|66|69|71|73|75|77|55|57|63|65|67|68|72|76|50|80|,1
|48|55|56|57|63|65|81|76|77|80|,1
|48|53|49|47|55|56|57|58|59|60|63|66|67|69|70|72|74|75|76|77|78|80|,1
|48|53|47|56|63|67|70|76|80|,1
|48|49|55|72|74|50|47|56|58|73|77|80|,1
|2|3|9|10|31|38|44|46|47|48|49|50|,1
|55|56|57|63|80|,1
|49|59|72|77|50|,1
|55|47|56|48|80|,1
|48|56|63|74|76|77|80|,1
|53|55|56|57|59|62|72|74|78|80|,1
|48|47|56|57|58|60|75|77|80|,1
|14|33|34|,1
|48|80|50|70|68|57|56|,1
|56|68|74|75|,1
|2|3|9|10|11|14|18|19|20|21|25|26|27|28|29|31|33|34|37|38|42|44|,1
|48|56|81|77|50|76|,1
|79|70|73|76|,1
|81|68|74|50|80|,1
|48|57|68|70|74|56|47|,1
|47|56|57|58|59|60|63|67|81|68|72|73|74|76|78|80|,1
|48|81|68|74|,1
|47|56|67|81|80|,1
|54|56|80|70|,1
|56|47|48|60|81|80|70|57|68|67|76|,1
|48|53|60|66|69|74|77|80|,1
|56|63|67|80|,1
|47|80|53|,1
|48|56|60|55|,1
|48|53|47|55|56|57|60|61|63|64|65|81|68|74|77|50|80|,1
|48|47|56|80|76|74|,1
|56|58|69|70|74|80|,1
|67|55|80|75|,1
|79|50|74|72|75|73|81|60|58|47|,1
|48|67|81|74|77|80|,1
|56|60|73|80|67|,1
|48|54|47|56|58|60|55|57|61|,1
|48|62|63|67|76|,1
|48|47|55|63|64|65|67|69|70|74|50|79|,1
|48|57|68|70|80|,1
|48|47|56|73|75|78|53|55|61|72|76|80|81|77|63|74|50|,1
|48|67|77|50|,1
|48|49|47|55|56|57|58|59|60|62|63|64|65|81|68|69|71|74|76|77|50|78|80|,1
|48|56|47|57|53|70|75|74|80|,1
|48|47|56|57|58|63|70|76|77|,1
|48|55|57|58|63|68|70|74|78|80|,1
|77|56|54|,1
|48|47|56|58|59|81|68|70|72|74|80|,1
|56|62|77|80|,1
|48|55|56|57|61|62|63|64|65|67|81|68|70|73|74|77|50|80|,1
|48|47|55|77|,1
|53|63|56|,1
|67|70|78|,1
|54|55|56|58|61|72|73|74|75|,1
|48|47|57|60|81|77|80|,1
|2|3|9|10|11|12|14|18|20|21|24|25|26|27|28|29|30|31|32|33|34|38|40|44|,1
|80|67|74|50|47|48|56|70|78|,1
|81|69|77|70|,1
|48|49|47|56|57|67|70|74|80|,1
|48|56|67|68|70|74|80|,1
|55|61|63|67|68|70|76|50|53|47|64|66|69|71|,1
|48|57|58|59|60|62|63|64|67|81|68|70|74|76|77|50|80|,1
|48|47|56|57|81|68|70|74|76|80|,1
|47|56|60|67|70|72|74|75|,1
|56|58|60|81|48|55|68|70|,1
|48|53|47|56|67|81|68|70|,1
|80|81|67|70|78|74|55|77|48|60|56|57|50|62|,1
|53|56|67|68|70|74|75|,1
|48|47|56|59|60|81|68|70|80|,1
|70|68|67|65|63|80|77|,1
|48|56|58|60|65|70|74|80|,1
|77|50|,1
|48|56|80|70|50|,1
|56|57|67|68|74|76|,1
|56|70|73|,1
|48|81|69|75|77|50|76|74|72|68|67|65|63|61|57|55|53|,1
|48|55|63|68|70|74|76|80|,1
|66|75|,1
|48|54|47|58|60|75|55|50|74|,1
|48|47|55|56|57|58|61|63|69|71|74|75|50|78|,1
|54|47|56|58|60|64|75|73|77|78|80|49|55|63|67|72|74|50|,1
|62|63|81|68|,1
|80|67|70|,1
|48|73|75|77|80|53|49|55|57|61|67|70|72|74|76|50|,1
|48|47|55|56|57|58|59|67|74|76|50|78|80|,1
|48|74|47|77|78|80|67|,1
|47|55|56|73|74|50|80|,1
|80|47|72|,1
|48|49|47|55|56|57|63|81|74|75|76|77|80|,1
|2|3|8|9|11|12|13|14|16|19|21|23|25|26|27|28|29|31|33|37|38|40|42|,1
|47|56|53|,1
|55|81|80|,1
|48|56|58|60|67|70|73|75|78|80|,1
|48|47|81|71|75|77|80|55|57|67|70|74|50|,1
|9|10|12|14|24|31|32|33|38|41|44|,1
|48|53|47|55|58|63|81|68|69|70|74|77|50|78|,1
|48|53|47|58|59|78|,1
|47|55|56|60|65|67|81|69|72|73|74|77|50|78|80|,1
|48|47|63|67|68|69|70|74|76|80|81|,1
|48|63|61|69|80|74|81|,1
|47|60|61|67|73|75|80|,1
|48|56|60|80|,1
|18|31|37|,1
|57|70|74|80|48|73|,1
|58|60|64|69|59|72|54|73|75|50|77|80|,1
|66|67|69|70|76|,1
|7|14|21|23|28|29|42|,1
|54|56|67|81|68|69|70|72|74|50|78|80|,1
|48|59|,1
|61|67|73|74|75|80|,1
|56|62|63|66|81|74|76|77|80|,1
|48|63|74|75|76|,1
|48|56|58|81|78|63|67|76|,1
|48|53|54|47|61|63|67|70|72|74|76|77|50|80|,1
|53|60|67|80|,1
|81|56|55|76|64|71|80|63|54|,1
|67|68|70|76|80|,1
|67|50|,1
|48|49|56|60|64|65|62|63|67|73|74|76|75|50|78|80|,1
|67|81|72|77|,1
|48|55|57|60|80|,1
|48|81|55|68|,1
|53|67|69|74|,1
|80|70|68|67|63|61|48|56|62|,1
|48|56|58|77|78|49|61|50|74|,1
|53|49|55|56|60|63|64|65|81|69|74|80|,1
|48|47|57|58|63|67|76|78|80|,1
